,Hi all~ I am in the market for a new plaquette style device,1
5600,"  In most discussions~ ""fall factor 2"" is a shorthand for a fall the belayer has to hold without the rope running through any intermediate protection",1
5601,As far as peak loads are concerned~ there is hardly any difference between fall factor 2 and~ say~ fall factor 1.8 anyway.,1
5602,rgold~ thanks for that reply and I understand,1
5603,Ignoring my comments about fall factors~ I still would like to see fall forces laid over these graphs to put it in perspective,1
5604,For example~ a 100 kg belay force can only resist a 100 kg fall is there is zero friction between belayer and climber,1
5605,But~ as soon as you introduce points of protection between belayer and cimber and friction on biners and over the rock~ a 100 kg belay force can arrest a higher fall force.,1
5606,I might add~ as I think I mentioned earlier~ that the 1-1.5 m of slip~ if that's what you can keep it to~ is going to go through yer hand in a bit more than 1/4 of second~ in other words~ it is going to happen fast.,1
5607,just a thought ..,1
5608,has anyone asked mammut and edelrid for comment?   if no one else is willing~ ill email mammut over the weekend   ;),1
5609,so jim   then pages 23-29 from this are bunk and disproven? A Simulation of Climbing    and Rescue Belays -2006 International Technical Rescue Symposium CMT Conclusions on Belaying    •Hand acts as an inertial load for the first few hundred    milliseconds,1
5610,•Slip distance is proportional to fall height~ not fall factor,1
5611,Confirmed,1
5612,•Peak force occurs at maximum hand acceleration~ not    at lowest climber position,1
5613,•Only a small amount of belayer lifting is helpful (~20    cm),1
5614,More lifting increases fall distance and does not    decrease peak force,1
5615,Confirmed,1
5616,user.xmission.com/~tmoyer/t…   as a side note we DO hear about folks jamming their hands in belay plates in large falls ..,1
5617,thats one way to lose control~ have the webbing of your hand pulled up into the device and let go for inexperienced climbers   which is why experienced belayers have enough separation between the ATC and their hand,1
5618," One should always have your break hand on the rope when belaying~ so the fact that the Edelrid Mega Jul isn't certified for Factor 2 falls in ""assisted braking"" (eg",1
5619,hands free) mode is rather meritless,1
5620,Get a Mega Jul....they're great belay devices.,1
5621,I'm curious Brian~ you have a vested interest in the MegaJul? Because your personal attacks have seemed to be directed at those who question its use,1
5622,"   Before you reacted to Jim's statement about his and Richard's experience and went off spewing:   ""There are lots of self-proclaimed expert engineers and people with 100 years of climbing experience on here that will give you untested opinion which may or may not be relevant for your unique situation.""   You might want to figure out who those two guys are and just what their qualifications and experience are",1
5623,You might find they actually know a boat load about what they're talking about,1
5624,In Jim's case~ quite literally,1
5625,need another hint? www128.pair.com/r3d4k7/Gold…   The point is not that one doesn't debate with the experts but that if you are going to step into the debate~ you do so with some meaningful contribution,1
5626,And spew against competent~ experienced climbers with backgrounds in engineering and mathematics isn't meaningful,1
5627,Nor is a test with a sample set of 1 where your buddy jumps off the cliff and wow~ you held the fall,1
5628,Too many degrees of freedom there Brian,1
5629,Your observations of your experience with the device are possibly meaningful to the OP,1
5630,That's for them to decide~ to take it or leave it,1
5631,But in terms of attacking the integrity and knowledge of others~ it just doesn't cut it,1
5632,It gets you called out with the age old cry of BS,1
5633,Doesn't really help your case either to make a false statement about armchair engineers and then indicate you can't follow the charts and graphs.,1
5634,It is true that Jim and I have some expertise in both climbing and the technical issues involved in equipment decisions,1
5635,As Brian has been very quick to note~ that by itself doesn't mean one should believe anything we say,1
5636,Our separate professional fields both demand that claims be justified with clearly logical arguments and/or data given with enough information to allow others to reproduce the experiment~ and I think both of us have honored those requirements here---most especially Jim~ who has been more than generous in sharing his results---even though  MP is about as far from a professional environment as it is possible to get,1
5637,If my thinking is faulty~ I've done my best to give you the basis for my conclusions and so the means for explaining why I've gone wrong,1
5638,I think Jim has had to correct me several times in this thread~ for example,1
